run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
29,100,3,22.9,3.7,18.0,4.15,1e-07,0.1,50,0.60,0.45,True,28.700000000000003,3,3,1.0683007097733395,1.0335863339718359,1.3670488708483741,4.1902163367668335,8.178,4.028,1.61,2.151,3.448,
2,100,3,30.4,7.0,25.5,1.5,1e-07,0.05,25,0.35,0.40,True,43.6,3,3,0.4621437171437087,0.6798115306051441,4.517836188025312,6.220538688497989,7.23,5.732,4.522,4.385,2.785,
31,100,3,10.3,36.2,31.7,2.37,1e-07,0.1,80,center,center,True,65.9,3,3,0.01747926063281626,0.1322091548752062,0.9509657796577512,1.9691350582061575,4.681,2.314,0.958,2.037,1.733,
26,100,3,21.1,32.7,32.1,3.24,1e-07,0.1,50,center,center,True,82.2,3,3,0.01657429977335015,0.1287412124121493,1.7993720160718554,2.6588024946097883,6.412,3.173,1.8,11.15,1.68,
9,100,3,5.7,46.0,41.0,1.27,1e-07,0.05,50,0.60,0.45,True,91.2,3,3,5.357854784050386,2.3147040381116515,3.223415365492792,3.612038316906773,-3.202,4.475,3.477,4.462,1.97,
4,100,3,8.2,44.4,39.6,3.68,1e-07,0.05,25,0.60,0.45,True,90.60000000000001,3,3,6.3210209460804245,2.5141640650682335,4.424038513240951,6.14859674174223,-4.545,8.229,4.647,7.729,2.5,
6,100,3,55.9,10.8,51.3,1.36,1e-07,0.05,50,center,center,True,100.9,3,3,0.4900634656315929,0.7000453311262014,5.898460668676007,7.2522920797639445,8.511,7.147,5.903,11.21,2.743,
11,100,3,72.4,6.3,67.4,2.89,1e-07,0.05,80,center,center,True,115.10000000000001,3,3,0.6025606305528589,0.7762477894028806,3.3303597471478925,6.112670889910495,9.391,6.5,3.331,9.058,2.707,
5,100,3,33.9,46.9,50.9,4.34,1e-07,0.05,25,0.60,0.58,True,103.9,3,3,0.008437591231933385,0.09185636195677131,4.558002735231022,12.872521918931348,-9.222,13.559,4.558,0.206,2.047,
27,100,3,55.3,16.3,51.6,2.03,1e-07,0.1,50,0.35,0.40,True,100.30000000000001,3,3,0.3560054617227473,0.5966619325235584,4.5234694166694815,6.72952449927443,7.375,5.346,4.532,7.944,2.703,
32,100,3,64.6,35.0,66.8,3.71,1e-07,0.1,80,0.35,0.40,True,117.7,3,3,0.10764695317607341,0.3280959511729357,3.4179311083271195,3.6469366231951064,3.806,0.097,3.418,34.064,2.571,
3,100,3,64.7,21.5,61.9,3.31,1e-07,0.05,25,0.45,0.55,True,121.10000000000001,3,3,0.4406029055226982,0.6637792596358357,4.895343402637236,6.325888311383626,7.661,4.353,4.897,8.453,2.506,
12,100,3,59.7,49.0,70.1,1.61,1e-07,0.05,80,0.35,0.40,True,127.9,3,3,0.28376940159529657,0.5327001047449649,2.050889259230173,7.582450255356835,-6.37,7.977,2.057,14.182,2.125,
17,100,3,47.6,42.2,56.5,1.53,1e-07,0.05,120,0.35,0.40,True,118.80000000000001,3,3,0.4952401848624371,0.7037330352217644,3.3989098252840106,5.78680282885604,6.809,5.276,3.412,7.493,2.549,
30,100,3,48.9,76.5,83.9,4.73,1e-07,0.1,50,0.60,0.58,True,122.2,3,3,0.029689102919305252,0.17230526085788922,0.6952050949518113,1.3250137645809104,3.655,1.07,0.708,4.949,1.61,
19,100,3,68.6,76.1,95.4,2.99,1e-07,0.05,120,0.60,0.45,True,129.3,3,3,0.09181738054785919,0.30301382897131807,2.9947845054873667,5.036544966364183,6.896,3.902,2.996,9.429,2.175,
10,100,3,18.0,76.8,73.0,3.91,1e-07,0.05,50,0.60,0.58,True,125.60000000000001,3,3,0.0026723275249420936,0.05169455991632092,0.7995985928036413,2.3207152459733833,1.738,2.172,0.8,15.162,1.798,
25,100,3,38.6,92.9,94.1,3.05,1e-07,0.1,25,0.60,0.58,True,134.9,3,3,0.026771940083682513,0.1636213313834187,0.6797632231240297,0.7845100161832855,3.444,0.392,0.683,10.122,1.75,
18,100,3,8.3,82.1,77.1,4.22,1e-07,0.05,120,0.45,0.55,True,131.70000000000002,3,3,0.2881449051842477,0.5367913050564881,4.832079204340856,6.062775334296703,8.65,4.427,4.834,9.815,2.592,
16,100,3,87.3,7.9,82.3,4.6,1e-07,0.05,120,center,center,True,138.9,3,3,3.367293652720678,1.8350187063680516,9.614300421400738,10.252332607945391,6.046,1.448,9.618,9.778,2.065,
